date,steps,workouts_ct,workout_minutes,workout_distance,workout_energy
2025-01-07 00:00:00,23876,0,0.0,0.0,0.0
2025-01-08 00:00:00,9006,0,0.0,0.0,0.0
2025-01-09 00:00:00,6482,0,0.0,0.0,0.0
2025-01-10 00:00:00,10976,2,71.3753062148889,0.0,0.0
2025-01-11 00:00:00,14196,0,0.0,0.0,0.0
2025-01-12 00:00:00,7725,0,0.0,0.0,0.0
2025-01-13 00:00:00,11603,2,81.18556018471719,0.0,0.0
2025-01-14 00:00:00,8080,0,0.0,0.0,0.0
2025-01-15 00:00:00,8432,0,0.0,0.0,0.0
2025-01-16 00:00:00,10049,1,83.68603108326595,0.0,0.0
2025-01-17 00:00:00,12138,2,70.44610820015272,0.0,0.0
2025-01-18 00:00:00,12610,0,0.0,0.0,0.0
2025-01-19 00:00:00,8517,0,0.0,0.0,0.0
2025-01-20 00:00:00,11547,1,17.58599385023117,0.0,0.0
2025-01-21 00:00:00,13053,0,0.0,0.0,0.0
2025-01-22 00:00:00,6652,0,0.0,0.0,0.0
2025-01-23 00:00:00,23107,1,111.9940092325211,0.0,0.0
2025-01-24 00:00:00,11605,2,67.68243831594785,0.0,0.0
2025-01-25 00:00:00,10629,0,0.0,0.0,0.0
2025-01-26 00:00:00,7778,0,0.0,0.0,0.0
2025-01-27 00:00:00,13471,2,81.80687964955966,0.0,0.0
2025-01-28 00:00:00,9320,1,58.18733326594035,0.0,0.0
2025-01-29 00:00:00,7287,0,0.0,0.0,0.0
2025-01-30 00:00:00,8626,1,76.75020926793417,0.0,0.0
2025-01-31 00:00:00,11518,2,82.710748565197,0.0,0.0
2025-02-01 00:00:00,8273,0,0.0,0.0,0.0
2025-02-02 00:00:00,4712,0,0.0,0.0,0.0
2025-02-03 00:00:00,11836,2,71.51044316689175,0.0,0.0
2025-02-04 00:00:00,10209,1,94.73842849930128,0.0,0.0
2025-02-05 00:00:00,10064,0,0.0,0.0,0.0
2025-02-06 00:00:00,10035,1,103.2331707000732,0.0,0.0
2025-02-07 00:00:00,11778,2,87.97622306744258,0.0,0.0
2025-02-08 00:00:00,10861,0,0.0,0.0,0.0
2025-02-09 00:00:00,7310,0,0.0,0.0,0.0
2025-02-10 00:00:00,12137,2,75.55107019941012,0.0,0.0
2025-02-11 00:00:00,3508,0,0.0,0.0,0.0
2025-02-12 00:00:00,1336,0,0.0,0.0,0.0
2025-02-13 00:00:00,6481,0,0.0,0.0,0.0
2025-02-14 00:00:00,7253,0,0.0,0.0,0.0
2025-02-15 00:00:00,9535,0,0.0,0.0,0.0
2025-02-16 00:00:00,3319,0,0.0,0.0,0.0
2025-02-17 00:00:00,11556,1,53.0072990834713,0.0,0.0
2025-02-18 00:00:00,10605,1,12.52125563422839,0.0,0.0
2025-02-19 00:00:00,3601,0,0.0,0.0,0.0
2025-02-20 00:00:00,19971,0,0.0,0.0,0.0
2025-02-21 00:00:00,28129,0,0.0,0.0,0.0
2025-02-22 00:00:00,8058,0,0.0,0.0,0.0
2025-02-23 00:00:00,20655,1,30.13616781036059,0.0,0.0
2025-02-24 00:00:00,9313,0,0.0,0.0,0.0
2025-02-25 00:00:00,14594,0,0.0,0.0,0.0
2025-02-26 00:00:00,7233,0,0.0,0.0,0.0
2025-02-27 00:00:00,7960,0,0.0,0.0,0.0
2025-02-28 00:00:00,2968,0,0.0,0.0,0.0
2025-03-01 00:00:00,10122,0,0.0,0.0,0.0
2025-03-02 00:00:00,7596,0,0.0,0.0,0.0
2025-03-03 00:00:00,13061,1,56.70128601789474,0.0,0.0
2025-03-04 00:00:00,5998,0,0.0,0.0,0.0
2025-03-05 00:00:00,8764,0,0.0,0.0,0.0
2025-03-06 00:00:00,4207,0,0.0,0.0,0.0
2025-03-07 00:00:00,10591,1,30.48822299838066,0.0,0.0
2025-03-08 00:00:00,14390,0,0.0,0.0,0.0
2025-03-09 00:00:00,5978,0,0.0,0.0,0.0
2025-03-10 00:00:00,10820,1,72.51512246131897,0.0,0.0
2025-03-11 00:00:00,4586,0,0.0,0.0,0.0
2025-03-12 00:00:00,9891,0,0.0,0.0,0.0
2025-03-13 00:00:00,6476,0,0.0,0.0,0.0
2025-03-14 00:00:00,11918,1,25.11582006613413,0.0,0.0
2025-03-15 00:00:00,6404,0,0.0,0.0,0.0
2025-03-16 00:00:00,6886,0,0.0,0.0,0.0
2025-03-17 00:00:00,11112,1,70.3369625488917,0.0,0.0
2025-03-18 00:00:00,8742,0,0.0,0.0,0.0
2025-03-19 00:00:00,10266,0,0.0,0.0,0.0
2025-03-20 00:00:00,5560,0,0.0,0.0,0.0
2025-03-21 00:00:00,10157,1,45.77276241580645,0.0,0.0
2025-03-22 00:00:00,11006,0,0.0,0.0,0.0
2025-03-23 00:00:00,10306,0,0.0,0.0,0.0
2025-03-24 00:00:00,7671,0,0.0,0.0,0.0
2025-03-25 00:00:00,9031,0,0.0,0.0,0.0
2025-03-26 00:00:00,11566,0,0.0,0.0,0.0
